Country,Both,Male,Female,national_dish,national_dish_wiki_link,image_link,aspect_ratio,order_2_cols,order_3_cols,order_4_cols
Nauru,32.5,32.1,32.8,coconut fish,https://en.wikipedia.org/wiki/Nauruan_cuisine,tonga.avif,1.7778,1,1,1
Tonga,31.9,30.4,33.5,'ota 'ika,https://en.wikipedia.org/wiki/%27ota_%27ika,tonga.avif,1.7778,84,58,42
Samoa,31.7,29.9,33.5,'ota 'ika,https://en.wikipedia.org/wiki/%27ota_%27ika,samoa.avif,1.7778,2,113,84
Kuwait,30.0,29.5,30.8,Machboos Laham,https://en.wikipedia.org/wiki/Kabsa,kuwait.avif,1.0000,85,2,126
Saint Kitts and Nevis,29.7,28.4,30.9,,,,,,,
Kiribati,29.6,28.7,30.5,Palusami,https://en.wikipedia.org/wiki/Palusami,kiribati.avif,1.4504,3,59,2
Saint Lucia,29.6,28.9,30.2,,,,,,,
Micronesia,29.4,27.8,31.0,,,,,,,
Palau,29.4,29.4,29.5,,,,,,,
Tuvalu,29.3,28.7,29.9,pulaka,https://en.wikipedia.org/wiki/Pulaka,tuvalu.avif,1.3333,86,114,43
Egypt,29.2,27.6,30.7,ful medames,https://en.wikipedia.org/wiki/Ful_medames,egypt.avif,0.7533,4,3,85
Marshall Islands,29.2,28.4,30.0,Barramundi cod,https://en.wikipedia.org/wiki/Humpback_grouper,marshall_islands.avif,1.3158,87,60,127
Qatar,29.2,29.0,30.1,machboos,https://en.wikipedia.org/wiki/Kabsa,qatar.avif,1.0000,5,115,3
United Arab Emirates,29.0,28.6,29.7,harees,https://en.wikipedia.org/wiki/Harees,united_arab_emirates.avif,1.3333,88,4,44
Belize,28.9,27.6,30.2,rice and beans,https://en.wikipedia.org/wiki/Rice_and_beans,belize.avif,1.3333,6,61,86
Jordan,28.9,28.2,29.7,mansaf,https://en.wikipedia.org/wiki/Mansaf,jordan.avif,1.0000,89,116,128
Bahamas,28.8,28.0,29.6,crack conch,https://en.wikipedia.org/wiki/Conch,bahamas.avif,1.4934,7,5,4
United States,28.8,28.8,28.8,apple pie,https://en.wikipedia.org/wiki/Apple_pie,united_states.avif,1.1903,90,62,45
Barbados,28.7,27.4,30.0,cou-cou,https://en.wikipedia.org/wiki/Cou-cou,barbados.avif,1.3333,8,117,87
Trinidad and Tobago,28.7,27.9,29.4,doubles,https://en.wikipedia.org/wiki/Doubles_(food),trinidad_and_tobago.avif,1.3333,91,6,129
Saudi Arabia,28.5,28.3,28.7,saleeg,https://en.wikipedia.org/wiki/Saleeg,saudi_arabia.avif,1.7778,9,63,5
Antigua and Barbuda,28.4,27.3,29.5,fungee,https://en.wikipedia.org/wiki/Cou-cou,antigua_and_barbuda.avif,1.0000,92,118,46
Libya,28.4,27.2,29.6,Couscous,https://en.wikipedia.org/wiki/Couscous,libya.avif,0.9068,10,7,88
Bahrain,28.2,28.0,28.6,kabsa,https://en.wikipedia.org/wiki/Kabsa,bahrain.avif,1.0000,93,64,130
Mexico,28.1,27.5,28.7,taco,https://en.wikipedia.org/wiki/Taco,mexico.avif,1.3331,11,119,6
Syria,28.1,27.2,29.0,kibbeh,https://en.wikipedia.org/wiki/Kibbeh,syria.avif,1.3333,94,8,47
Iraq,28.0,27.2,28.8,masgouf,https://en.wikipedia.org/wiki/Masgouf,iraq.avif,1.3333,12,65,89
New Zealand,27.9,28.0,27.8,meat pie,https://en.wikipedia.org/wiki/Meat_pie_(Australia_and_New_Zealand),new_zealand.avif,1.4501,95,120,131
Chile,27.8,27.6,28.0,empanada,https://en.wikipedia.org/wiki/Empanada,chile.avif,1.4475,13,9,7
Lebanon,27.8,28.0,27.6,kibbeh,https://en.wikipedia.org/wiki/Kibbeh,lebanon.avif,1.3333,96,66,48
Turkey,27.8,27.1,28.5,doner kebab,https://en.wikipedia.org/wiki/Doner_Kebab,turkey.avif,0.7109,14,121,90
Argentina,27.7,27.8,27.5,asado,https://en.wikipedia.org/wiki/Asado,argentina.avif,1.5135,97,10,132
Andorra,27.5,27.8,27.1,escudella i carn d'olla,https://en.wikipedia.org/wiki/Escudella_i_carn_d%27olla,andorra.avif,1.5000,15,67,8
Ireland,27.5,27.9,27.1,soda bread,https://en.wikipedia.org/wiki/Soda_bread,ireland.avif,1.5239,98,122,49
Azerbaijan,27.4,26.6,28.1,dolma,https://en.wikipedia.org/wiki/Dolma,azerbaijan.avif,1.2936,16,11,91
El Salvador,27.4,26.8,28.0,pupusa,https://en.wikipedia.org/wiki/Pupusa,el_salvador.avif,1.3333,99,68,133
Jamaica,27.4,25.5,29.2,Ackee and saltfish,https://en.wikipedia.org/wiki/Ackee_and_saltfish,jamaica.avif,1.3333,17,123,9
Kazakhstan,27.4,27.4,27.5,beshbarmak,https://en.wikipedia.org/wiki/Beshbarmak,kazakhstan.avif,1.3758,100,12,50
Suriname,27.4,26.5,28.2,pom,https://en.wikipedia.org/wiki/Pom_(dish),suriname.avif,1.3333,18,69,92
Greece,27.3,27.4,27.2,horiatiki,https://en.wikipedia.org/wiki/Greek_salad,greece.avif,1.5040,101,124,134
Saint Vincent and the Grenadines,27.3,26.5,28.1,,,,,,,
South Africa,27.3,25.4,29.1,bobotie,https://en.wikipedia.org/wiki/Bobotie,south_africa.avif,1.3333,19,13,10
United Kingdom,27.3,27.5,27.1,fish and chips,https://en.wikipedia.org/wiki/Fish_and_chips,united_kingdom.avif,1.5098,102,70,51
Australia,27.2,27.6,26.8,roast lamb,https://en.wikipedia.org/wiki/Lamb_and_mutton,australia.avif,1.0000,20,125,93
Canada,27.2,27.6,26.8,poutine,https://en.wikipedia.org/wiki/Poutine,canada.avif,1.7765,103,14,135
Fiji,27.2,26.1,28.4,Fijian,https://en.wikipedia.org/wiki/Fijian_cuisine,fiji.avif,1.3333,21,71,11
Georgia,27.2,27.2,27.3,khachapuri,https://en.wikipedia.org/wiki/Khachapuri,georgia.avif,1.5049,104,126,52
Malta,27.2,27.5,26.8,stuffat tal-fenek,https://en.wikipedia.org/wiki/Stuffat_tal-Fenek,malta.avif,1.3296,22,15,94
Venezuela,27.2,27.4,27.1,pabellón criollo,https://en.wikipedia.org/wiki/Pabell%C3%B3n_criollo,venezuela.avif,1.1039,105,72,136
Panama,27.1,26.4,27.7,sancocho,https://en.wikipedia.org/wiki/Sancocho,panama.avif,1.3333,23,127,12
Cyprus,27.0,27.6,26.3,souvla,https://en.wikipedia.org/wiki/Souvla,cyprus.avif,1.4938,106,16,53
Dominica,27.0,25.1,29.0,mountain chicken,https://en.wikipedia.org/wiki/Mountain_chicken,dominica.avif,1.4735,24,73,95
Ecuador,27.0,26.4,27.7,encebollado,https://en.wikipedia.org/wiki/Encebollado,ecuador.avif,1.5000,107,128,137
Grenada,27.0,25.2,28.7,oil down,https://en.wikipedia.org/wiki/Oil_down,grenada.avif,1.5080,25,17,13
Costa Rica,26.9,26.7,27.1,casado,https://en.wikipedia.org/wiki/Casado,costa_rica.avif,1.3333,108,74,54
Czech Republic,26.9,27.8,26.0,vepřo knedlo zelo,https://en.wikipedia.org/wiki/Vep%C5%99o_knedlo_zelo,czech_republic.avif,1.3333,26,129,96
Nicaragua,26.9,26.0,27.8,gallo pinto,https://en.wikipedia.org/wiki/Gallo_pinto,nicaragua.avif,0.9040,109,18,138
Oman,26.9,26.8,27.1,shuwa,https://en.wikipedia.org/wiki/Quzi,oman.avif,1.0000,27,75,14
Slovenia,26.9,27.5,26.3,cremeschnitte,https://en.wikipedia.org/wiki/Cremeschnitte,slovenia.avif,1.3333,110,130,55
Seychelles,26.8,25.6,28.0,,,,,,,
Tunisia,26.8,26.0,27.5,couscous,https://en.wikipedia.org/wiki/Couscous,tunisia.avif,0.9068,28,19,97
Uruguay,26.8,26.7,26.9,chivito,https://en.wikipedia.org/wiki/Chivito_(sandwich),uruguay.avif,1.7699,111,76,139
